Burghardt_ID,street_address,space_type,SPP,common,MULTI_STEM,DBH_2018,Ht_2018,Notes_2018,Condition,area_id,grade,grade_group,mean_temp_C,Status,HOLC_neigh,SPACELENGTH,SPACEWIDTH,long,lat,survey_date,Observer(s),Site Type,Land Use,Groundcover,Mortality Status,Species ID Notes,Basal Sprouts,Root Girdling,Overhead Conflicts,Tree Height (ft),Trunk Diameter (in),Height of Diameter (in),Fine Twig Dieback,Leaf Discoloration,Leaf Defoliation,Crown Light Exposure,Crown Vigor,Exit Holes,Exudation/Growths,Galleries,Bark Fissures/cankers,Scale,Aphids,Flatids,Whitefly,Twig/branch Galls,Leaf Galls,SLF,Caterpillars,Natural Enemies,Ants,Pruning,Vehicle Damage,dog_poop,trash,spider_mite,foreign_embedded,survey_notes,Photosynq,Phi2,PhiNPQ,PhiNO,Ambient Humidity,Ambient Temperature,Leaf Temperature,Leaf Temperature Differential,leaf_thickness,SPAD,photosynq_date,Time of Day,Side,Watering,Fencing,caterpillars_combined
23980,"2600 N HOWARD ST, Baltimore, MD",Well/Pit,Gleditsia triacanthos,"honeylocust, thornless",1,2.8,20,remove hardware,Good,2873,D,D,35.9204818232748,Focal,D6,9,5,-76.620757162062304,39.319077393816499,45819,MS KM SM OA,Sidewalk Cutout,Mixed Use,Properly mulched,Alive,ok,Absent,0 (none),None,24.5,8.6,54,(5) 2-5%,2 (2-25%),1 (0-1%),5 (all sides in sun),1 (healthy),None,Sticky or hardened clear/brown resin,None,None,None,None,None,None,None,None,Trace,None,Trace,Trace,Healed,Car (off ground),Absent,Absent,None,Absent,trace plantbug,yes,0.623,0.081,0.296,31.32422,34.43,34.09,-0.34,0.02,19.302,6/11/2025 12:49,12.82111111,NA,NA,NA,NA
24711,"2709 HUNTINGDON AVE, Baltimore, MD",Tree Lawn,Quercus rubra,"oak, northern red",1,1.6,20,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,11,-76.6221040843525,39.320054190449099,45819,MS KM SM OA,Sidewalk Planting Strip,Single-family Residential-attached,Herbaceous,Alive,ok,Present,0 (none),None,32.9,9,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,None,None,Trace,None,None,None,Trace,Trace,Trace,Trace,Trace,Healed,None,Absent,Present,None,Absent,trace cicadellid,yes,0.625,0.115,0.261,33.77441,33.36,28.21,-5.15,0.08,44.481,6/11/2025 11:57,11.95083333,NA,NA,NA,NA
24730,"2802 N HOWARD ST, Baltimore, MD",Tree Lawn,Celtis occidentalis,"hackberry, common",1,3.3,25,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,4,-76.620078741893195,39.3219991110237,45819,MS KM SM OA,Sidewalk Planting Strip,Single-family Residential-attached,Improperly mulched,Unknown,new tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24869,"301 W 29TH ST, Baltimore, MD",Well/Pit,Gleditsia triacanthos,"honeylocust, thornless",1,3.1,20,remove hardware,Good,2873,D,D,35.9204818232748,Focal,D6,8,4,-76.622106857844798,39.3219621539657,45819,MS KM SM OA,Sidewalk Cutout,Mixed Use,Properly mulched,Alive,ok,Absent,0 (none),None,15.2,4.0999999999999996,54,(15) 11-15%,2 (2-25%),1 (0-1%),5 (all sides in sun),3 (moderately unhealthy),None,None,None,Moderate,None,None,None,None,None,None,None,None,Trace,Moderate,Healed,Car (off ground),Absent,Absent,None,Absent,"watering bag, trace plant bug, lichen, 2nd tree from 29th street",yes,0.578,0.147,0.275,44.03027,28.92,30.79,1.87,0.03,5.14,6/11/2025 10:03,10.06194444,NA,NA,NA,NA
99148,"5315 NORTHWOOD DR, Baltimore, MD",Open/Unrestricted,Acer saccharum,"maple, sugar",1,1,8,DBH at 1,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,>20,-76.593477021922595,39.351322068221897,45859,MS KM SM,Maintained Park,Maintained Park,Herbaceous,Alive,Marshall cultivar,Absent,0 (none),None,27.2,5.33,54,(1) 0-1%,1 (0-1%),2 (2-25%),3,1 (healthy),None,None,Trace,Moderate,None,Trace,None,None,None,None,Trace,Trace,None,Trace,None,Mower (near ground),Absent,Present,None,Absent,"trace acanaloniidae, trace miridaefungus covered bugs",yes,0.678,0.112,0.21,36.83398,35.22,28.89,-6.33,0.3,51.523,7/21/2025 14:02,14.04166667,NA,NA,NA,NA
91669,"5315 NORTHWOOD DR, Baltimore, MD",Open/Unrestricted,Carpinus caroliniana,"hornbeam, American",1,1,6,DBH at 1,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,>20,-76.592491315127901,39.351220892041702,45859,MS KM SM,Maintained Park,Maintained Park,Lawn,Alive,ok,Absent,0 (none),None,9.9,2.4300000000000002,12,(1) 0-1%,2 (2-25%),2 (2-25%),1,1 (healthy),None,None,None,Moderate,None,None,None,Trace,None,None,Trace,None,Trace,Trace,None,None,Absent,Present,None,Absent,trace acanaloniidae,yes,0.576,0.174,0.25,39.30859,35.43,37.61,2.18,0.03,38.103,7/21/2025 13:53,13.88416667,NA,NA,NA,NA
25349,"314 W 30TH ST, Baltimore, MD",Tree Lawn,Carpinus caroliniana,"hornbeam, American",1,4.7,15,NA,Good,2873,D,D,35.9204818232748,Focal,D6,>20,3,-76.623371259246099,39.322956629692797,45819,MS KM SM OA,Sidewalk Planting Strip,Single-family Residential-attached,Root-filled,Alive,"66% betulus, 19% caroliniana",Absent,0 (none),None,24.5,8.5,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),Round in rows (sapsucker),None,None,None,Trace,Trace,Trace,None,None,None,Trace,None,Moderate,Moderate,Healed,None,Absent,Absent,None,Absent,plant bug trace,yes,0.609,0.129,0.262,39.90137,31.69,33.85,2.16,0.04,36.143,6/11/2025 10:20,10.34388889,NA,NA,NA,NA
25396,"330 W 30TH ST, Baltimore, MD",Tree Lawn,Quercus rubra,"oak, northern red",1,3.7,20,NA,Good,2873,D,D,35.9204818232748,Focal,D6,13,3,-76.623887497980604,39.322709514349398,45819,MS KM SM OA,Sidewalk Cutout,Single-family Residential-attached,Herbaceous,Alive,ok,Absent,0 (none),None,33.3,11.8,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,Honeydew/sooty mold,None,None,Trace,Substantive,None,None,None,None,Trace,Trace,Trace,Trace,Improper (minor/branches),Car (off ground),Absent,Absent,None,Absent,substantial powdery mildew,yes,0.62,0.162,0.218,35.55762,32.55,29.55,-3,0.09,42.423,6/11/2025 10:43,10.72138889,NA,NA,NA,NA
25688,"2900 CRESMONT AVE, Baltimore, MD",Well/Pit,Quercus phellos,"oak, willow",1,1.5,12,NA,Good,2873,D,D,35.9204818232748,Focal,D6,13,3,-76.621257972257595,39.323064805202499,45819,MS KM SM OA,Sidewalk Cutout,Single-family Residential-attached,Bare ground,Alive,ok,Absent,0 (none),None,30.5,10.199999999999999,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,Trace,Trace,None,None,None,None,None,Trace,None,Trace,None,Healed,Car (off ground),Absent,Absent,None,Absent,"red mites, bird nest, sign taped to tree",yes,0.572,0.163,0.264,48.87402,25.91,27.21,1.3,0.06,28.052,6/11/2025 9:47,9.793611111,NA,NA,NA,NA
90842,"4501 LOCH RAVEN BLVD, Baltimore, MD",Median/Island,Celtis occidentalis,"hackberry, common",1,1,7,NA,Good,2879,A,AB,34.6491558195865,Backup,A6,>20,>20,-76.591926443605502,39.347152749325197,45859,MS KM SM,Median,Single-family Residential-detached,NA,Alive,hackberry,Absent,0 (none),None,10.2,1.51,54,(10) 6-10%,2 (2-25%),1 (0-1%),5 (all sides in sun),3 (moderately unhealthy),None,Honeydew/sooty mold,None,Trace,Substantive,Trace,None,Trace,None,None,None,None,None,Trace,None,Mower (near ground),Absent,Absent,None,Absent,NA,yes,0.481,0.369,0.15,36.66309,35.44,32.25,-3.19,0.19,17.319,7/21/2025 13:32,13.54527778,NA,NA,NA,NA
